Experiment OOB UOB OB VFDT ESOS_ELM
StaticIm1 0.01568658478187096 -0.003932204253117494 0.0 -0.04169158824054246 -0.03976511473421501
StaticIm2 0.02287964200044057 -0.0032861353051953923 0.14268252158105663 0.08934783726097792 -0.022127203606806034
StaticIm3 0.006203362300648441 0.020633398347698395 0.16164206819596638 0.13699817232571343 -0.016904936675723237
StaticIm5 0.008125108069885423 -0.013620942553960291 0.023397847214178924 0.001277954864484454 -0.005458135390178032
StaticIm10 0.005455815812179576 0.002821131337836902 0.0018004167062328769 0.007153356782636067 -0.013176710751497067
StaticIm20 0.004052390231294667 0.023076142335000327 0.007933869549161199 0.004714279021933776 0.002635605435648003
StaticIm30 -0.0030120186183210107 -0.0026765869462280767 -0.003649865614689496 -0.0013820806978145361 1.7643572062464585e-05
StaticIm40 0.0031656829398895026 0.0023482520134630036 0.0027674466254673513 0.003977206081582585 0.004430592922189058
StaticIm50 0.003109334906348571 0.0025084249522925317 0.002308649095575155 0.002008359471545318 0.00034450826167509163
Im1 -0.062208028300056895 -0.06946618273706262 -0.05367511428805949 -0.06190244591784455 -0.15814266123664933
Im2 -0.07596823365357153 -0.08225970197656485 -0.07981609556778557 -0.07295382730656086 -0.16033262548854732
Im3 -0.0665767918143696 -0.07317721104382713 -0.06894335979322641 -0.06520867089897753 -0.14157705462476522
Im5 -0.05175287130055839 -0.05638649462791234 -0.054637973100264525 -0.052057762216281334 -0.12471704861834654
Im10 -0.021252491703759424 -0.02291982404741133 -0.018245037141755294 -0.021739860204725736 -0.07256973682258261
Im20 -0.016385047808150754 -0.01882334394190377 -0.01831518594459791 -0.017977259147726854 -0.053530543245209894
Im30 -0.003575908554806606 -0.0055688669098907795 -0.005890716335482438 -0.005362274192188932 -0.02336523475252017
Im40 0.00024720290378077436 -0.0008618316984856378 -0.000955377665383339 -0.0005906110329815251 -0.006335641683195448
Move5-post-drift 0.011609574271655987 0.013908588311957515 0.00820678758019966 0.006410862764189673 0.008210637315097857
Move3-post-drift 0.0034105200216643095 0.005907593474714368 0.0035128379520698028 0.010912480737614194 -0.0009164000242599668
Move7-post-drift 0.00662893017646804 0.0031277482112284094 0.0057337919690224615 0.0048391608953543 -0.0013227498566029672
Move3 -0.056435596953431366 -0.04436235845729708 -0.05764717809990805 -0.08575515976104897 -0.05648351832315546
Move5 -0.02546289789237144 -0.03403375187369784 -0.03799774901677366 -0.051603762650612506 -0.03307728254871556
Move7 -0.06100304224288755 -0.05603392278935837 -0.06697623481275228 -0.0755879745387058 -0.03391285803520094
Join3-post-drift 0.0025094588136417295 0.002807163645909383 -0.0005942312039035613 0.002008326785658321 0.00734949197172996
Join5-post-drift 0.0009047609013385083 -0.0003960227714842057 0.00020481665141192096 0.0017049694596434906 0.008520675378992704
Join7-post-drift 0.003010498847338061 0.0039127284327953316 0.0032122681107095152 0.004714224906964937 -0.0005107166461578716
Join3 -0.03903399116722772 -0.02926014256766918 -0.03523296955401567 -0.045025043443986945 -0.1370965003400032
Join5 -0.026008463510531654 -0.013431257985050848 -0.028718412584495256 -0.032820573407629894 -0.04086420732432028
Join7 0.001398786212888803 0.009022871754000628 0.0018076209484130246 -0.02460510776465652 -0.007854183929860037
Split3-post-drift 0.0026059189955596196 0.003010058471313193 0.0025077258780075162 0.005611790324431931 0.003261609478567462
Split5-post-drift 0.007994055669921729 0.015986875089102015 0.0075999869872201975 0.013391620816033956 0.00743905290669622
Split7-post-drift 0.006651949207308383 0.006860530658328146 0.0057494254014522905 0.005151209346168528 0.007825705883348966
Split3 -0.11516341523290752 -0.13202481048419756 -0.1215489520652262 -0.13504183016356264 -0.1782150265013953
Split5 -0.13879664485756582 -0.17226203734363277 -0.14636829592332423 -0.16520254692380565 -0.3889583860367326
Split7 -0.12428719470570437 -0.13696012328119933 -0.12612720395791144 -0.14546372260788853 -0.2417463428165295
Borderline20-post-drift -0.004616324244329673 -0.005617192112580938 -0.005816050930305683 -0.004612568067906553 -0.004923041119673677
Borderline40-post-drift 2.538812081565034e-05 0.00012346613252423033 -7.16255438472091e-05 0.000523453434054133 0.00011531848432488889
Borderline60-post-drift 0.0005773571581789705 0.0033771674216508396 0.0017751680400444059 0.0022794675481396798 0.007351748321644869
Borderline80-post-drift -0.00015618469469247387 -0.0025623927108695543 -0.0004680116422223213 -0.001162262697735117 -0.0015094705440139577
Borderline100-post-drift -0.00010538583179642291 0.0006890046581198295 0.0018863451661031982 0.0004932132926238619 0.0008621869469118693
Borderline20 -0.03354646644392323 -0.033843400823951875 -0.03474919304013602 -0.037447767191230885 -0.006352416901835634
Borderline40 -0.05424098293941704 -0.053535198915378834 -0.0536327714984528 -0.056428807586956564 -0.007846240299975715
Borderline60 -0.06821451563300651 -0.06942720997559126 -0.06842527233325602 -0.07973377196652576 -0.012643958159860413
Borderline80 -0.0691619940319802 -0.07156670584295366 -0.0705646982858329 -0.08546931957945114 -0.02102024108209366
Borderline100 -0.05973245736557242 -0.06723975846403929 -0.06403363874321089 -0.07573021496391819 -0.0195409053347948
Rare20-post-drift 0.011299815806751545 0.011903858086341201 0.010300094046467256 0.010529478293496708 0.009849368454230567
Rare40-post-drift 0.009491978014085856 0.008611613331673373 0.010309625251844312 0.011064127433458859 0.014218658767652548
Rare60-post-drift 0.008291825704978717 0.0065262587459797294 0.004370620548835635 -0.006328530355026785 -0.004346125016535585
Rare80-post-drift 0.010699419168141155 0.007249545490810083 0.003627757416109212 0.007648704630668801 0.009712151434025956
Rare100-post-drift 0.011409324352235822 -0.018303639571523478 -0.005469158941299623 0.009999955524634868 -0.011799214472359043
Rare20 -0.13475551462000956 -0.13615949637662572 -0.13545773796197302 -0.13565710403687026 -0.1282577781014863
Rare40 -0.28817802006129567 -0.2897744783075107 -0.28968446090492184 -0.29058264420616153 -0.2832200407836326
Rare60 -0.48248902959204726 -0.48350085205763677 -0.4839027173284061 -0.4822480663559082 -0.47810825192808315
Rare80 -0.7072916089034978 -0.7089396618270895 -0.7105933876047085 -0.708945957517856 -0.70356534974021
Rare100 -0.9182560650745353 -0.9502711799034682 -0.9343173179689189 -0.9594620701827564 -0.9010389183069334
StaticIm1_Im60 0.4512171607016285 0.7313459692954749 0.9274650926831857 0.863426954240106 0.570197463497157
StaticIm1_Im70 0.4584591731585191 0.7506452877979821 0.9358803985646512 0.8712418124704985 0.5897943867312714
StaticIm1_Im80 0.4635136326089296 0.7554590921780502 0.9448993162032927 0.8755326395117369 0.613236850373654
