Experiment OOB UOB OB VFDT ESOS_ELM
StaticIm1 -0.006110392699618661 -0.00028187185943051585 0.0 -0.06789550136454833 -0.014831603917367486
StaticIm2 -0.0023771964983200222 0.001477872090218213 0.17684950702902064 0.11057111797005942 -0.007830431865449405
StaticIm3 -0.0001726879623804578 0.0066607121084011345 0.14565441941202018 0.12591609491352695 -0.0013492951699388689
StaticIm5 0.00042446146353081193 -0.0025029511037567564 0.04465692047381575 0.011708565280871275 -0.0017658543679645033
StaticIm10 -0.0018450037157681232 0.0002821175073011162 -0.0003937826847817405 1.1452370540121493e-05 -0.0011170931843146326
StaticIm20 0.0007916245406217604 0.0053444632163131 0.0012017624931095483 0.0004700148653389302 0.0005723460667008684
StaticIm30 -0.0009641142397039948 -0.0007966471337561565 -0.0016090765939035245 -0.001056027202931853 0.0003599997563424884
StaticIm40 0.0013177818001609554 0.0009193597889801675 0.001121507982117964 0.0015899729566285492 0.0017452633762280456
StaticIm50 0.001801727326888214 0.0014906369082947624 0.0013968632343378529 0.0012359180222301092 0.0009389511652313498
Im1 -0.00040676039810205733 -0.0008720330923208675 0.0004398896035342492 -0.0010564294968908872 0.0013636234148162174
Im2 0.0036188101552545593 0.0022251921618421378 0.002573027679121709 0.0012214279854246834 0.0051035922393902755
Im3 0.002973352026257481 0.001803440847800153 0.002331085046821224 0.0034661346363591417 0.005727571608263093
Im5 0.0035563048702422773 0.002417206569483632 0.002482774323633641 0.0032743870844128553 0.004846937128600071
Im10 0.0003393943859243409 0.0003445298830474508 0.0006484185580615254 -0.0003756879380709677 0.001256117733673845
Im20 0.002824550046973129 0.0018841248749391637 0.002038662426257498 0.0019230058296688668 0.0016623838198422947
Im30 0.003746839031599558 0.00290874224852955 0.0028120076982605102 0.002881199462600348 0.0034611543851695847
Im40 0.0025017138655389903 0.0019774106300056715 0.0019695024806909434 0.00209843182656011 0.0033309587847139
Move5-post-drift 0.006006014346248034 0.0071591494599956285 0.0042628918664984194 0.0034346429533013145 0.004544487787752849
Move3-post-drift 0.0015819536848595828 0.0028290788670153333 0.0016327151051900302 0.005309990588021507 -0.0009023168516295588
Move7-post-drift 0.0032020220814571454 0.0015326207757668797 0.002784642286688399 0.00229427776188873 -0.0010289797610925078
Move3 -0.028142503158805954 -0.022017248805036416 -0.028752170094168195 -0.04288372078631164 -0.027519566138666796
Move5 -0.012550268565546752 -0.016744340283170622 -0.01882476657894261 -0.02572621954265164 -0.015373182416056896
Move7 -0.02963954684029335 -0.02719376576653687 -0.032569941174716566 -0.03685973043046964 -0.01531529549183297
Join3-post-drift 0.00117144681811987 0.0012938369391328752 -0.00037122224696872763 0.0008975683565771719 0.0032550517902352194
Join5-post-drift 0.000452320524571892 -0.0002090046514824362 8.691529893489758e-05 0.0008266408061377017 0.004501466566387946
Join7-post-drift 0.001568752176724697 0.0020183616677339478 0.0016766264544972875 0.0024066333561738595 3.0253358948795217e-05
Join3 -0.019463921192513278 -0.014455926952977372 -0.017520198490817762 -0.022487709229616404 -0.06739415009482597
Join5 -0.012668082597200647 -0.006256719743419126 -0.013945746881020571 -0.01612578157527811 -0.01877424498245528
Join7 0.0014618113446468461 0.005583051885305612 0.001689683162100608 -0.011676847188438755 -0.0034040611778680674
Split3-post-drift 0.0011552289712154495 0.0013583395275916788 0.0010999689140258617 0.002646294976410446 0.0011443912829132152
Split5-post-drift 0.003981440325715679 0.008075801367648516 0.0037918399178971107 0.006771783471105408 0.003616866741515512
Split7-post-drift 0.00357354480254668 0.0037105716812400047 0.0031072657373141244 0.002777383061087435 0.004664701476100874
Split3 -0.05775957304753854 -0.06609572612583747 -0.06094204352412702 -0.06764591512992424 -0.09615460983622681
Split5 -0.07019272345587368 -0.08812596245426252 -0.07427648420265165 -0.0836861698524679 -0.21510655564870562
