Experiment OOB UOB OB VFDT ESOS_ELM
StaticIm1 0.9157963226392598 0.9561845161548371 0.0 0.08369091049172668 0.9023094526965941
StaticIm2 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9647848633514808
StaticIm3 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9644883669734252
StaticIm5 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9590993985057106
StaticIm10 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.968928092306597
StaticIm20 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.9539601974556952
StaticIm30 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9554643928078447
StaticIm40 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9582763760407387
StaticIm50 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9500672260941816
Im1 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9652616463765147
Im2 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9514524584845612
Im3 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9507168039418203
Im5 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9507746764925468
Im10 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9653746473321411
Im20 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9506591162792054
Im30 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9502845870652562
Im40 0.9808503009712135 0.9813251624972622 0.9812652759900032 0.979851956017003 0.9490262279863391
Move5-post-drift 0.969821056112998 0.9672475281231574 0.9709541803378245 0.9665581160997669 0.9310862247569303
Move3-post-drift 0.9808825875042052 0.9780536493126029 0.9808122863671367 0.9732988675753864 0.942110503515528
Move7-post-drift 0.9723699450168066 0.9694274968983153 0.971096470974883 0.9630626852448317 0.927028010860407
Move3 0.9690085150035526 0.9632588916010165 0.9650033925993506 0.9645268388441088 0.9304706575439446
Move5 0.9654474749835356 0.9589202034278465 0.963698073042894 0.9640557081540123 0.9232986397751158
Move7 0.9537948530392069 0.9491683988629307 0.9544464739052232 0.9482972916176822 0.9138378062524074
Join3-post-drift 0.990747065580519 0.9896899062941147 0.9925805999690509 0.9896461033956557 0.9518819479644292
Join5-post-drift 0.9896073063386528 0.9898645968112483 0.9900178435397258 0.9888148576590841 0.9553048791681812
Join7-post-drift 0.995148382845535 0.9944992888553846 0.9948933758848696 0.9928476446144499 0.9640201831320747
Join3 0.9690085150035526 0.9632588916010165 0.9650033925993506 0.9645268388441088 0.9312213135129657
Join5 0.9654474749835356 0.9589202034278465 0.963698073042894 0.9640557081540123 0.9215016723942453
Join7 0.9537948530392069 0.9491683988629307 0.9544464739052232 0.9482972916176822 0.9155719402273155
Split3-post-drift 0.9866451144050707 0.9849932621446712 0.9862973789593641 0.9823484467794715 0.9475959170170081
Split5-post-drift 0.9722595999591471 0.9641883165502948 0.9715021421248553 0.9621466619154493 0.9267149785425957
Split7-post-drift 0.9753997196438977 0.9734337700372592 0.9762699700483347 0.9731044361032867 0.9330977464739127
Split3 0.9903495019846474 0.9892599009759246 0.989609589232637 0.9892074753157054 0.9633096927624875
Split5 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9649441506895104
Split7 0.9953725972556114 0.9950055980414056 0.9955026571801193 0.9946747814611416 0.9630807854693758
Borderline20-post-drift 0.9740712235635025 0.9740182042325445 0.9742188358710212 0.9720141876632512 0.9599226213958545
Borderline40-post-drift 0.9693739425099782 0.9687721935862454 0.9695155370362067 0.966358424342664 0.9545015114084091
Borderline60-post-drift 0.968249204800615 0.9667189295219387 0.9680261876141255 0.9664486808621209 0.9468499123483815
Borderline80-post-drift 0.9654468257781075 0.9664905813352442 0.9672960862662476 0.9643474771512806 0.9482359729492978
Borderline100-post-drift 0.9643142721201367 0.9642756480919026 0.9644644257473913 0.9627579760821139 0.9446236053782764
Borderline20 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9650976940286817
Borderline40 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.965059595766164
Borderline60 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9649899259661575
Borderline80 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9657253127509401
Borderline100 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9649994573446697
Rare20-post-drift 0.8837276919415661 0.882216399986682 0.883510621558481 0.8822687081034006 0.8549844027913764
Rare40-post-drift 0.7682363002510988 0.767729982844027 0.7682445387715359 0.7691501647296412 0.739058647529464
Rare60-post-drift 0.6315362768931893 0.6276988749925889 0.6304156491960795 0.6460369807167915 0.619756578253831
Rare80-post-drift 0.5309206380968593 0.507194245624751 0.5363479418082682 0.5291305343816076 0.5174212857407883
Rare100-post-drift 0.5662406370979574 0.5595607768371601 0.5689958676572344 0.5255355755604189 0.5162640289018097
Rare20 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9659781759530555
Rare40 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9656211659880729
Rare60 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9654110127360942
Rare80 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9672606043992037
Rare100 0.9888638911762367 0.9893600655847106 0.9896054166332193 0.9879049944947795 0.9668042643159028
StaticIm1_Im60 0.9157963226392598 0.9561845161548371 0.0 0.08369091049172668 0.8983433574580036
StaticIm1_Im70 0.9157963226392598 0.9561845161548371 0.0 0.08369091049172668 0.8987621419756902
StaticIm1_Im80 0.9157963226392598 0.9561845161548371 0.0 0.08369091049172668 0.8948475469324206
StaticIm1_Im90 0.9157963226392598 0.9561845161548371 0.0 0.08369091049172668 0.9202928556037187
StaticIm1_Im99 0.9157963226392598 0.9561845161548371 0.0 0.08369091049172668 0.8789281274982284
StaticIm1_Move3-post-drift 0.7473915296006365 0.9461827814133136 0.0 0.041853016621876966 0.8734289073656442
StaticIm1_Move5-post-drift 0.6744464547588501 0.9233293829012471 0.0 0.0 0.7832612048720546
StaticIm1_Move7-post-drift 0.7278022451951769 0.9035865139280018 0.0 0.03790994448735806 0.7873832257706359
StaticIm1_Move3 0.6613868180759683 0.9104024305068876 0.0 0.0 0.7579446463242654
StaticIm1_Move5 0.6910341778598407 0.8938489874240378 0.0 0.0 0.7628781589688634
StaticIm1_Move7 0.4874200086815163 0.9065832876078691 0.0 0.0 0.7049388317266845
StaticIm1_Join3-post-drift 0.9431824924569219 0.9803592344848375 0.07315729413351338 0.09331210922823176 0.930139314100613
StaticIm1_Join5-post-drift 0.9267863906219296 0.9829168608176847 0.42389691013110287 0.3786872198418637 0.9833780319234947
StaticIm1_Join7-post-drift 0.9804345602933218 0.9867456275294568 0.5418677619990049 0.6756040370360783 0.9828061171612552
StaticIm1_Join3 0.6613868180759683 0.9104024305068876 0.0 0.0 0.7798177379734056
StaticIm1_Join5 0.6910341778598407 0.8938489874240378 0.0 0.0 0.7703073739701256
StaticIm1_Join7 0.4874200086815163 0.9065832876078691 0.0 0.0 0.7331937036902859
StaticIm1_Split3-post-drift 0.8003777221426784 0.9544453685552472 0.0 0.017677669529663688 0.8757872244960913
StaticIm1_Split5-post-drift 0.671052190354982 0.8994262034789913 0.0 0.0 0.7610905371443757
StaticIm1_Split7-post-drift 0.6913422305021524 0.9322680719979246 0.0 0.0 0.821712534616252
StaticIm1_Split3 0.9612794341061841 0.9756497848876698 0.4698136003730398 0.4457309655061074 0.9819234071406194
StaticIm1_Split5 0.9709622439262799 0.9795664932098912 0.48929909974041996 0.5129259574743346 0.9825809837212585
StaticIm1_Split7 0.9459031023150226 0.9855122236781304 0.5703780772575949 0.6393728489052113 0.9853425336980977
StaticIm2_Im1 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9618318979089956
StaticIm2_Im60 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9623020807916731
StaticIm2_Im70 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9632252727474683
StaticIm2_Im80 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9646073687020189
StaticIm2_Im90 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9641239691529251
StaticIm2_Im98 0.9660006022298292 0.9552168909914075 0.2614221869212163 0.35187878107352616 0.9616196578927483
StaticIm3_Im1 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.965289081413953
StaticIm3_Im2 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9641421561282245
StaticIm3_Im60 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9636565101944582
StaticIm3_Im70 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9642808954339321
StaticIm3_Im80 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9651809687656014
StaticIm3_Im90 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9655184840277811
StaticIm3_Im97 0.9784196731837831 0.9567202481905733 0.55000378171574 0.5966008880434798 0.9644380107833334
StaticIm5_Im1 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9588539680860645
StaticIm5_Im2 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9593180348372556
StaticIm5_Im3 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9584697513284169
StaticIm5_Im60 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9595113147459067
StaticIm5_Im70 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9581939160548814
StaticIm5_Im80 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9583861436111698
StaticIm5_Im90 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9593760452369677
StaticIm5_Im95 0.9830656918197681 0.9652578727701691 0.8788981895790521 0.8989668217309381 0.9593195660239937
StaticIm10_Im1 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9691228607169913
StaticIm10_Im2 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.9555284514263361
StaticIm10_Im3 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.9551455566280049
StaticIm10_Im5 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.956340128684333
StaticIm10_Im60 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.9560469864501517
StaticIm10_Im70 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.9562535479250645
StaticIm10_Im80 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.9553855662470834
StaticIm10_Im90 0.9842670456234467 0.9704120654021497 0.9755476213560952 0.9732766251783689 0.9561666994190972
StaticIm10_Borderline20-post-drift 0.9667422896794646 0.9692627791174809 0.9482683056214272 0.9471927889028487 0.962932041404296
StaticIm10_Borderline40-post-drift 0.965446342167825 0.9620094125497174 0.9326027104452048 0.9298991796045183 0.9581425263157163
StaticIm10_Borderline60-post-drift 0.9661980760208759 0.9536961510058204 0.92210941357555 0.9100875082071317 0.9542859781325502
StaticIm10_Borderline80-post-drift 0.9654829937047278 0.9541785546872349 0.9383304332573792 0.9221357264526485 0.9517657934334023
StaticIm10_Borderline100-post-drift 0.9657954771860784 0.9484310009873405 0.9466341091091801 0.9223017669304611 0.9453694176976535
StaticIm10_Borderline20 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9689244696657318
StaticIm10_Borderline40 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9698691898888445
