Experiment ESOS_ELM OB OOB UOB VFDT
Borderline100 0.7473009193611376 0.8878749106626829 0.8875288392856143 0.885454054951759 0.8862390072611245
Borderline100-post-drift 0.7567486414500572 0.8699207264497086 0.8700063362679253 0.8667432248670266 0.8705374688939338
Borderline20 0.819073833090424 0.9254889590043116 0.9266240974665179 0.9246235389914454 0.9266522804490229
Borderline20+Rare20 0.7034614711018291 0.7602744298111888 0.7600745760930578 0.7600920167896329 0.7642689310583557
Borderline20+Rare20-post-drift 0.5395434974623047 0.6028758067763319 0.604014736568248 0.5998019812874682 0.6136882134142801
Borderline20-post-drift 0.8140843327780252 0.9088349909361877 0.9096756063782463 0.907217923812371 0.9086776046802089
Borderline40 0.8013941056893549 0.911286868995336 0.9119720601100514 0.9097000442348069 0.9110746977454184
Borderline40+Rare40 0.5670760713628029 0.5990029013837836 0.5986820860544593 0.5990852418996342 0.6087252151311643
Borderline40+Rare40-post-drift 0.32043602933077864 0.36467442707461245 0.3656446035699592 0.3617708792313742 0.3779888051529283
Borderline40-post-drift 0.7968748280854949 0.8917169994938979 0.8934264767415867 0.8908957235694595 0.8920746840695587
Borderline60 0.7840027980946266 0.9005624051923169 0.9015944394733368 0.899654855436468 0.9016163701595431
Borderline60-post-drift 0.7775111519550589 0.8864153110129428 0.8866184746982481 0.8815511329322078 0.8891471748597732
Borderline80 0.7673751152662058 0.8937516954471948 0.8946189109203218 0.8922577304379025 0.8940903279342362
Borderline80-post-drift 0.7673479252370862 0.8771959186090599 0.8746216325383017 0.8729383348499355 0.8773865639218418
Im1 0.802832876887266 0.9250101408040834 0.9399118587928186 0.9549016134759596 0.9357466060896392
Im1+Borderline100 0.7039675717683318 0.7827822356110277 0.832028140400063 0.8685106413201907 0.7828284100863243
Im1+Borderline100-post-drift 0.6009777446047668 0.11064168679222305 0.5155138261971708 0.7696688584471367 0.12310387200015277
Im1+Borderline20 0.7817482039514533 0.8822430881319131 0.9017124546813178 0.9235994352920026 0.8909100418359696
Im1+Borderline20+Rare20 0.6914542636085504 0.7781620256091795 0.7947854116086392 0.7855952675627571 0.786282624384922
Im1+Borderline20+Rare20-post-drift 0.5403807778027595 0.17519333223114886 0.5255207388373347 0.5965187975407964 0.1925908196692755
