Experiment ESOS_ELM OB OOB UOB VFDT
Borderline100 0.949900830235207 0.9694548433851787 0.9696055239885191 0.9685569128659915 0.9655012545497244
Borderline100-post-drift 0.9376762010907718 0.9634363910328836 0.9627052115785533 0.9630064177474766 0.9611249472852559
Borderline20 0.9568125727964367 0.9777145400417123 0.9776322705358396 0.9773679291510946 0.9755447061622613
Borderline20+Rare20 0.8993372119397571 0.9169412145888303 0.9165143435838169 0.9166974955809465 0.9151855437316863
Borderline20+Rare20-post-drift 0.8486065112627926 0.8706052611528251 0.8702972528543731 0.8702467697772424 0.8692805885967434
Borderline20-post-drift 0.9532236486085374 0.9730544870719383 0.9731854274549281 0.9730284979136417 0.9709153774970745
Borderline40 0.9548739296486708 0.9743382990802857 0.9741206918964613 0.9737840985273049 0.9715939714242623
Borderline40+Rare40 0.8266889640881669 0.8367886815401501 0.8365932093937459 0.8359008605827054 0.8339987804311748
Borderline40+Rare40-post-drift 0.731519164178628 0.7513723774434431 0.7518090920817007 0.7510832809391816 0.7508691089584366
Borderline40-post-drift 0.949291875266478 0.9691451774035755 0.9693891396778763 0.9684425282192899 0.9658661370901204
Borderline60 0.95336093018041 0.9724254833050898 0.9724432218722366 0.9718014223425874 0.9691700496177136
Borderline60-post-drift 0.9444225123463442 0.9671691608650614 0.9669453562814511 0.9655054782315537 0.9649092833793954
Borderline80 0.9524184592010885 0.9709669765954301 0.9711321089123415 0.9703134931374235 0.9675699883679811
Borderline80-post-drift 0.9403999495065105 0.9650982201643552 0.9638088815282403 0.9640085122624938 0.9621973204700615
Im1 0.9634794730409453 0.9843450914022063 0.9866926194898126 0.9880746756100064 0.9816777021408833
Im1+Borderline100 0.9370744559003947 0.9208956832587364 0.9558564663092532 0.9644863327545715 0.9108862621649537
Im1+Borderline100-post-drift 0.8293313077992635 0.0 0.8071372669161748 0.9344944764367323 0.012274672631615156
Im1+Borderline20 0.9585595230090485 0.9584544376726413 0.966547111795365 0.9738848177818423 0.9566641854432202
Im1+Borderline20+Rare20 0.8881935348606496 0.897302315305122 0.9068250861137624 0.9150923256498251 0.8976590968606197
Im1+Borderline20+Rare20-post-drift 0.8228692102019957 0.024144312426068303 0.7624345936933633 0.8279400773731973 0.20936385228200238
Im1+Borderline20-post-drift 0.9298675506359996 0.33449740298705394 0.8913337343357868 0.9598814894874436 0.44109013753533466
Im1+Borderline40 0.9513749229729417 0.9339429312492225 0.9506448540043383 0.961617781858397 0.9280205132773267
